id,Title,Year of release,Running time,Movie Rated,Rating,Description,Director
69, Die Hard,1988,2h 12m,R,8.2,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,John McTiernan
70, Hotel Rwanda,2004,2h 1m,PG-13,8.1,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",Terry George
71, Heat,1995,2h 50m,R,8.3,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,Michael Mann
72, Jaws,1975,2h 4m,PG,8.1,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",Steven Spielberg
73, Snatch,2000,1h 42m,R,8.2,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Guy Ritchie
74, No Country for Old Men,2007,2h 2m,R,8.2,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,Ethan Coen
75, The Lion King,1994,1h 28m,G,8.5,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",Roger Allers
76, The Big Lebowski,1998,1h 57m,R,8.1,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",Joel Coen
77, Donnie Darko,2001,1h 53m,R,8,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",Richard Kelly
78, Into the Wild,2007,2h 28m,R,8.1,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness.",Sean Penn
79, The Sixth Sense,1999,1h 47m,PG-13,8.2,"Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife.",M. Night Shyamalan
80, District 9,2009,1h 52m,R,7.9,"Thirty years ago, aliens arrive on Earth to find refuge. Separated from humans in a District 9, they are managed by Multi-National United. When a field agent contracts a virus that begins to alter his DNA, there is only one place to hide.",Neill Blomkamp
81, Gone with the Wind,1939,3h 58m,G,8.2,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.,Victor Fleming
82, Kill Bill: Vol,2003,1h 51m,R,8.2,"After waking from a 4-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Quentin Tarantino
83, Toy Story,1995,1h 21m,G,8.3,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,John Lasseter
84, Scarface,1983,2h 50m,R,8.3,"Miami in the 1980s: a determined criminal minded Cuban immigrant, becomes the biggest drug smuggler in Florida, and is eventually undone by his own drug addiction.",Brian De Palma
85, 2 Fast 2 Furious,2003,1h 47m,PG-13,5.9,Former cop Brian O'Conner is called upon to bust a dangerous criminal and he recruits the help of a former childhood friend and street racer who has a chance to redeem himself.,John Singleton
86, The Departed,2006,2h 31m,R,8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Martin Scorsese
87, Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,PG-13,8.1,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save Elizabeth Swann, the governor's daughter and his love, from Jack's former pirate allies, who are now undead.",Gore Verbinski
88, Iron Man 2,2010,2h 4m,PG-13,6.9,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",Jon Favreau
89, Machete,2010,1h 45m,R,6.6,"After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss.",Ethan Maniquis
90, The Expendables,2010,1h 43m,R,6.4,A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent.,Sylvester Stallone
91, Salt,2010,1h 40m,PG-13,6.5,A CIA agent goes on the run after a defector accuses her of being a Russian spy.,Phillip Noyce
92, The Sorcerer's Apprentice,2010,1h 49m,PG,6.1,A protege of the magician Merlin must train his teacher's successor - an introverted but resourceful physics prodigy - in the art of sorcery to prevent the return of Morgana le Fay.,Jon Turteltaub
93, Alice in Wonderland,2010,1h 48m,PG,6.4,"Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",Tim Burton
94, Harry Potter and the Sorcerer's Stone,2001,2h 32m,PG,7.6,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",Chris Columbus
95, Grown Ups,2010,1h 42m,PG-13,6,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",Dennis Dugan
96,300,2006,1h 57m,R,7.6,"In the ancient battle of Thermopylae, King Leonidas and 300 Spartans fight against Xerxes and his massive Persian army.",Zack Snyder
97, The Wrestler,2008,1h 49m,R,7.9,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.",Darren Aronofsky
98, Gandhi,1982,3h 11m,PG,8,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,Richard Attenborough
99, The Terminator,1984,1h 47m,R,8.1,"The Terminator, a cyborg assassin from the future, attempts to find and kill Sarah Connor, a waitress who is destined to give birth to a man who will save humankind from extinction.",James Cameron
100, 12 Monkeys,1995,2h 9m,R,8,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",Terry Gilliam
101, Good Will Hunting,1997,2h 6m,R,8.3,"Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life.",Gus Van Sant
102, Let the Right One In,2008,1h 54m,R,7.8,"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.",Tomas Alfredson
103, The Exorcist,1973,2h 2m,R,8.1,"When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.",William Friedkin
104, Rocky,1976,2h,PG,8.1,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,John G. Avildsen
105, Big Fish,2003,2h 5m,PG-13,8,A frustrated son tries to determine the fact from fiction in his dying father's life.,Tim Burton
106, Beauty and the Beast,1991,1h 24m,G,8,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,Gary Trousdale
107, Mystic River,2003,2h 18m,R,7.9,"The tragic murder of a 19-year-old girl reunites three childhood friends still living in Boston--the victim's gangster father, a detective, and the disturbed man they both suspect of killing her.",Clint Eastwood
108, Shutter Island,2010,2h 18m,R,8.2,"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.",Martin Scorsese
109, Buried,2010,1h 35m,R,7,Paul is a U.S. truck driver working in Iraq. After an attack by a group of Iraqis he wakes to find he is buried alive inside a coffin. With only a lighter and a cell phone it's a race against time to escape this claustrophobic death trap.,Rodrigo Cortés
110, The Bank Job,2008,1h 51m,R,7.2,Martine offers Terry a lead on a foolproof bank hit on London's Baker Street. She targets a roomful of safe deposit boxes worth millions in cash and jewelry along with a treasure trove of dirty secrets.,Roger Donaldson
111, Robin Hood,2010,2h 20m,PG-13,6.6,"In twelfth-century England, Robin Longstride and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.",Ridley Scott
112, Saving Private Ryan,1998,2h 49m,R,8.6,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Steven Spielberg
113, A Perfect Getaway,2009,1h 38m,R,6.5,Two pairs of lovers on a Hawaiian vacation discover that psychopaths are stalking and murdering tourists on the islands.,David Twohy
