id,Title,Year of release,Running time,Movie Rated,Rating,Description,Director
300, Vanilla Sky,2001,2h 16m,R,6.9,A self-indulgent and vain publishing magnate finds his privileged life upended after a vehicular accident with a resentful lover.,Cameron Crowe
301, The Perfect Storm,2000,2h 10m,PG-13,6.5,An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.,Wolfgang Petersen
302, Crank: High Voltage,2009,1h 36m,R,6.1,Chelios faces a Chinese mobster who has stolen his nearly indestructible heart and replaced it with a battery-powered ticker which requires regular jolts of electricity to keep working.,Mark Neveldine
303, Blade,1998,2h,R,7.1,"A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires.",Stephen Norrington
304, You Don't Mess with the Zohan,2008,1h 53m,PG-13,5.6,An Israeli Special Forces Soldier fakes his death so he can re-emerge in New York City as a hair stylist.,Dennis Dugan
305, 30 Days of Night,2007,1h 53m,R,6.6,"After an Alaskan town is plunged into darkness for a month, it is attacked by a bloodthirsty gang of vampires.",David Slade
306, Men in Black,1997,1h 38m,PG-13,7.3,"James, an NYC cop, is hired by Agent K of a secret government agency that monitors extraterrestrial life on Earth. Together, they must recover an item that has been stolen by an intergalactic villain.",Barry Sonnenfeld
307, Step Up,2006,1h 44m,PG-13,6.5,"Tyler receives the opportunity of a lifetime after vandalizing a performing arts school, gaining him the chance to earn a scholarship and dance with an up and coming dancer, Nora.",Anne Fletcher
308, The Kingdom,2007,1h 50m,R,7,A team of U.S. government agents are sent to investigate the bombing of an American facility in the Middle East.,Peter Berg
309, Van Wilder,2002,1h 32m,R,6.4,The most popular kid on campus meets a beautiful journalist who makes him realize that maybe he's afraid to graduate.,Walt Becker
310, The Box,2009,1h 55m,PG-13,5.6,"With the press of a button, a wooden box bestows riches and death.",Richard Kelly
311,1408,2007,1h 44m,PG-13,6.8,"Author Michael Enslin specializes in debunking paranormal occurrences, checks into the fabled room 1408 in the Dolphin Hotel in New York City, settles in, and soon confronts genuine terror.",Mikael Håfström
312, Transporter 3,2008,1h 44m,PG-13,6.1,"Frank Martin is forced to deliver Valentina, the kidnapped daughter of a Ukrainian government official, from Marseilles to Odessa on the Black Sea. En route, he has to contend with thugs who want to intercept Valentina's safe delivery.",Olivier Megaton
313, Total Recall,1990,1h 53m,R,7.5,"When a man goes in to have virtual vacation memories of the planet Mars implanted in his mind, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?",Paul Verhoeven
314, Austin Powers: International Man of Mystery,1997,1h 29m,PG-13,7,A world-class playboy and part-time secret agent from the 1960s emerges after thirty years in a cryogenic state to battle with his nemesis Dr. Evil.,Jay Roach
315, Legally Blonde,2001,1h 36m,PG-13,6.5,"Elle Woods, a fashionable sorority queen, is dumped by her boyfriend. She decides to follow him to law school. While she is there, she figures out that there is more to her than just looks.",Robert Luketic
316, Mission: Impossible III,2006,2h 6m,PG-13,6.9,IMF agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fiancée in response.,J.J. Abrams
317, Meet the Fockers,2004,1h 55m,PG-13,6.3,All hell breaks loose when the Byrnes family meets the Focker family for the first time.,Jay Roach
318, There's Something About Mary,1998,1h 59m,R,7.1,"A man gets a chance to meet up with his dream girl from high school, even though his date with her back then was a complete disaster.",Bobby Farrelly
319, Natural Born Killers,1994,1h 59m,R,7.2,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.,Oliver Stone
320, Austin Powers in Goldmember,2002,1h 34m,PG-13,6.2,"Upon learning that his father has been kidnapped, Austin Powers must travel to 1975 and defeat the aptly named villain Goldmember, who is working with Dr. Evil.",Jay Roach
321, Eragon,2006,1h 44m,PG,5.1,"In his homeland of Alagaesia, a farm boy happens upon a dragon's egg -- a discovery that leads him on a predestined journey where he realizes he's the one person who can defend his home against an evil king.",Stefen Fangmeier
322, Apollo 13,1995,2h 20m,PG,7.7,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,Ron Howard
323, Be Cool,2005,1h 58m,PG-13,5.6,"Disenchanted with the movie industry, Chili Palmer tries the music industry, meeting and romancing a widow of a music executive on the way.",F. Gary Gray
324, Grease 2,1982,1h 55m,PG,4.6,A British student at a 1960s American high school must prove himself to the leader of a girls' gang whose members can only date greasers.,Patricia Birch
325, Dodgeball: A True Underdog Story,2004,1h 32m,PG-13,6.7,A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.,Rawson Marshall Thurber
326, Dogma,1999,2h 10m,R,7.3,An abortion clinic worker with a special heritage is called upon to save the existence of humanity from being negated by two renegade angels trying to exploit a loop-hole and reenter Heaven.,Kevin Smith
327, Signs,2002,1h 46m,PG-13,6.8,"A widowed former reverend living with his children and brother on a Pennsylvania farm finds mysterious crop circles in their fields, which suggests something more frightening to come.",M. Night Shyamalan
328, The Punisher,2004,2h 4m,R,6.4,An undercover FBI agent becomes a vigilante and sets out to unleash his wrath upon the corrupt businessman who slaughtered his entire family at a reunion.,Jonathan Hensleigh
329, Road Trip,2000,1h 33m,R,6.5,Four college buddies embark on a road trip to retrieve an illicit tape mistakenly mailed to a female friend.,Todd Phillips
330, Bad Boys II,2003,2h 27m,R,6.6,Two loose-cannon narcotics cops investigate the flow of Ecstasy into Florida from a Cuban drug cartel.,Michael Bay
331, The Prince and Me,2004,1h 51m,PG,5.9,"At college Paige meets Eddie, a student from Denmark, whom she first dislikes but later accepts, likes, and loves; he proves to be Crown Prince Edvard. Paige follows him to Copenhagen, and he follows her back to school with a plan.",Martha Coolidge
332, The Royal Tenenbaums,2001,1h 50m,R,7.6,The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.,Wes Anderson
333, Evan Almighty,2007,1h 36m,PG,5.4,God contacts Congressman Evan Baxter and tells him to build an ark in preparation for a great flood.,Tom Shadyac
334, The Others,2001,1h 44m,PG-13,7.6,"In 1945, immediately following the end of Second World War, a woman who lives with her two photosensitive children on her darkened old family estate in the Channel Islands becomes convinced that the home is haunted.",Alejandro Amenábar
335, The Golden Compass,2007,1h 53m,PG-13,6.1,"In a parallel universe, young Lyra Belacqua journeys to the far North to save her best friend and other kidnapped children from terrible experiments by a mysterious organization.",Chris Weitz
336, The Untouchables,1987,1h 59m,R,7.8,"During Prohibition, Treasury agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone, and assembles a small, incorruptible team to help him.",Brian De Palma
337, The Longest Yard,2005,1h 53m,PG-13,6.4,Prison inmates form a football team to challenge the prison guards.,Peter Segal
338, Chocolat,2000,2h 1m,PG-13,7.2,"Single mother Vianne Rocher and her young daughter arrive in a rural French town in the winter of 1959, and open an unusual chocolate shop that disrupts the moral fiber of the strictly Catholic townsfolk and mayor.",Lasse Hallström
339, Donnie Brasco,1997,2h 7m,R,7.7,An FBI undercover agent infiltrates the mob and finds himself identifying more with the Mafia life--at the expense of his regular one.,Mike Newell
340, Notting Hill,1999,2h 4m,PG-13,7.2,"A set of circumstances makes Anna Scott, a famous actress, fall in love with William Thacker, owner of a bookstore in Notting Hill. But the paparazzi's fascination with her complicates their bond.",Roger Michell
341," 10,000 BC",2008,1h 49m,PG-13,5.1,"In the prehistoric past, D'Leh is a mammoth hunter who bonds with the beautiful Evolet. When warriors on horseback capture Evolet and the tribesmen, D'Leh must embark on an odyssey to save his true love.",Roland Emmerich
342, Shrek the Third,2007,1h 33m,PG,6.1,"Reluctantly designated as the heir to the land of Far, Far Away, Shrek hatches a plan to install the rebellious Artie as the new king while Princess Fiona tries to fend off a coup d'état by the jilted Prince Charming.",Chris Miller
343, Finding Neverland,2004,1h 46m,PG,7.7,The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.,Marc Forster
344, The Orphanage,2007,1h 45m,R,7.4,"A woman brings her family back to her childhood home, which used to be an orphanage for handicapped children. Before long, her son starts to communicate with an invisible new friend.",J.A. Bayona
345, Big Daddy,1999,1h 33m,PG-13,6.4,"A lazy law school graduate adopts a kid to impress his girlfriend, but everything doesn't go as planned.",Dennis Dugan
346, A Series of Unfortunate Events,2004,1h 48m,PG,6.8,"When a massive fire kills their parents, three children are delivered to the custody of cousin and stage actor Count Olaf, who is secretly plotting to steal their parents' vast fortune.",Brad Silberling
347, The Strangers,2008,1h 26m,R,6.1,"James Hoyt and Kristen McKay visit an isolated vacation home to enjoy some time together. However, they are in for a rude surprise when three masked assailants make their stay a nightmare.",Bryan Bertino
348, Alien Resurrection,1997,1h 49m,R,6.2,"Two centuries after her death, a powerful human/alien hybrid clone of Ellen Ripley aids a crew of space pirates in stopping the aliens from reaching Earth.",Jean-Pierre Jeunet
349, The Hitchhiker's Guide to the Galaxy,2005,1h 49m,PG,6.7,"Mere seconds before the Earth is to be demolished by an alien construction crew, journeyman Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy.""",Garth Jennings
350, The Final Destination,2009,1h 22m,R,5.1,A horrifying premonition saves a young man and his friends from death during a racetrack accident but terrible fates await them nonetheless.,David R. Ellis
351, Jackie Brown,1997,2h 34m,R,7.5,"A flight attendant with a criminal past gets nabbed by the ATF for smuggling. Under pressure to become an informant against the illegal arms dealer she works for, she must find a way to secure her future without getting killed.",Quentin Tarantino
352, Anger Management,2003,1h 46m,PG-13,6.3,"Dave Buznik is a businessman who is wrongly sentenced to an anger management program, where he meets an aggressive instructor.",Peter Segal
353, A Man Apart,2003,1h 49m,R,6,A man known as Diablo emerges to head a drug cartel after the previous leader is imprisoned.,F. Gary Gray
354, Just Like Heaven,2005,1h 35m,PG-13,6.7,"David, a lonely architect, finds an amazing apartment, only to discover it's haunted by the spirit of the previous tenant Elizabeth, an overachieving doctor. Eventually, he falls in love with her.",Mark Waters
355, The Hot Chick,2002,1h 44m,PG-13,5.6,"An attractive and popular teenager, who is mean-spirited toward others, finds herself in the body of an older man, and must find a way to get back to her original body.",Tom Brady
356, Batman & Robin,1997,2h 5m,PG-13,3.8,Batman and Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.,Joel Schumacher
357, Next,2007,1h 36m,PG-13,6.2,A Las Vegas magician who can see into the future is pursued by FBI agents seeking to use his abilities to prevent a nuclear terrorist attack.,Lee Tamahori
358, Blade: Trinity,2004,1h 53m,R,5.8,"Blade, now a wanted man by the FBI, must join forces with the Nightstalkers to face his most challenging enemy yet: Dracula.",David S. Goyer
359, Van Helsing,2004,2h 11m,PG-13,6.1,"The famed monster hunter is sent to Transylvania to stop Count Dracula, who is using Dr. Frankenstein's research and a werewolf for nefarious purposes.",Stephen Sommers
360, American Pie 2,2001,1h 48m,R,6.4,"Jim and his friends are now in college, and they decide to meet up at the beach house for some fun.",J.B. Rogers
361, Monster,2003,1h 49m,R,7.3,"Based on the life of Aileen Wuornos, a Daytona Beach prostitute who became a serial killer.",Patty Jenkins
362, I Now Pronounce You Chuck & Larry,2007,1h 55m,PG-13,5.9,"Two straight, single Brooklyn firefighters pretend to be a gay couple in order to receive domestic partner benefits.",Dennis Dugan
363, American Wedding,2003,1h 36m,R,6.3,"It's the wedding of Jim and Michelle and the gathering of their families and friends, including Jim's old friends from high school and Michelle's little sister.",Jesse Dylan
364, Robin Hood: Prince of Thieves,1991,2h 23m,PG-13,6.9,Robin Hood decides to fight back as an outlaw when faced with the tyranny of the Sheriff of Nottingham.,Kevin Reynolds
365, The Parent Trap,1998,2h 8m,PG,6.7,"Identical twins Annie and Hallie, separated at birth and each raised by one of their biological parents, discover each other for the first time at summer camp and make a plan to bring their wayward parents back together.",Nancy Meyers
366, Hostel,2005,1h 34m,R,5.9,"Three backpackers head to a Slovak city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them.",Eli Roth
367, The Hills Have Eyes,2006,1h 47m,R,6.4,A traveling family falls victim to a group of mutated cannibals in a desert far away from civilization.,Alexandre Aja
368, The Last of the Mohicans,1992,1h 52m,R,7.6,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.,Michael Mann
369, Dragonball Evolution,2009,1h 25m,PG,2.5,"The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power.",James Wong
370, The Amityville Horror,2005,1h 30m,R,5.9,Newlyweds are terrorized by demonic forces after moving into a large house that was the site of a grisly mass murder a year before.,Andrew Douglas
371, The Simpsons Movie,2007,1h 27m,PG-13,7.3,"After Homer pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",David Silverman
372, Batman Returns,1992,2h 6m,PG-13,7.1,"While Batman deals with a deformed man calling himself the Penguin wreaking havoc across Gotham with the help of a cruel businessman, a female employee of the latter becomes the Catwoman with her own vendetta.",Tim Burton
373, White Chicks,2004,1h 49m,PG-13,5.8,Two disgraced FBI agents go way undercover in an effort to protect hotel heiresses the Wilson sisters from a kidnapping plot.,Keenen Ivory Wayans
374, Shrek 2,2004,1h 33m,PG,7.3,"Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be.",Andrew Adamson
375, Night at the Museum,2006,1h 48m,PG,6.5,A newly recruited night security guard at the Museum of Natural History discovers that an ancient curse causes the animals and exhibits on display to come to life and wreak havoc.,Shawn Levy
376, The Wedding Singer,1998,1h 37m,PG-13,6.9,"Robbie, a singer, and Julia, a waitress, are both engaged, but to the wrong people. Fortune intervenes to help them discover each other.",Frank Coraci
377, Bruce Almighty,2003,1h 41m,PG-13,6.8,A whiny news reporter is given the chance to step into God's shoes.,Tom Shadyac
378, Spaceballs,1987,1h 36m,PG,7.1,A star-pilot for hire and his trusty sidekick must come to the rescue of a princess and save Planet Druidia from the clutches of the evil Spaceballs.,Mel Brooks
379, The International,2009,1h 58m,R,6.5,An Interpol agent attempts to expose a high-profile financial institution's role in an international arms dealing ring.,Tom Tykwer
380, Die Hard with a Vengeance,1995,2h 8m,R,7.6,"John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building.",John McTiernan
381, Austin Powers: The Spy Who Shagged Me,1999,1h 35m,PG-13,6.7,"Dr. Evil is back and has invented a new time machine that allows him to go back to the 1960s and steal Austin Powers' mojo, inadvertently leaving him ""shagless"".",Jay Roach
382, Desperado,1995,1h 44m,R,7.1,Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.,Robert Rodriguez
383, The Sweetest Thing,2002,1h 24m,R,5.2,"Christina Walters spent years avoiding men, then suddenly met her perfect match while hanging with her best friends, Courtney and Jane. When she finds out that he has left town, she and Courtney set out on a trip.",Roger Kumble
384, Underworld: Evolution,2006,1h 46m,R,6.7,"Picking up directly from the previous movie, vampire warrior Selene and the half werewolf Michael hunt for clues to reveal the history of their races and the war between them.",Len Wiseman
385, RoboCop,1987,1h 42m,R,7.6,"In a dystopic and crime-ridden Detroit, a terminally wounded cop returns to the force as a powerful cyborg haunted by submerged memories.",Paul Verhoeven
386, The Mask,1994,1h 41m,PG-13,6.9,Bank clerk Stanley Ipkiss is transformed into a manic superhero when he wears a mysterious mask.,Chuck Russell
387, Charlie's Angels,2000,1h 38m,PG-13,5.6,"Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.",McG
388, Black Dynamite,2009,1h 24m,R,7.4,"Black Dynamite is the greatest African-American action star of the 1970s. When his only brother is killed by The Man, it's up to him to find justice.",Scott Sanders
389, Men in Black II,2002,1h 28m,PG-13,6.2,Agent J is sent to find Agent K and restore his memory after the re-appearance of a case from K's past.,Barry Sonnenfeld
390, Antz,1998,1h 23m,PG,6.5,A rather neurotic ant tries to break from his totalitarian society while trying to win the affection of the princess he loves.,Eric Darnell
391, World Trade Center,2006,2h 9m,PG-13,6,Two Port Authority police officers become trapped under the rubble of the World Trade Center.,Oliver Stone
392, Shallow Hal,2001,1h 54m,PG-13,6,A shallow man falls in love with a 300-pound woman because of her inner beauty.,Bobby Farrelly
393, The Evil Dead,1981,1h 25m,NC-17,7.4,"Five friends travel to a cabin in the woods, where they unknowingly release flesh-possessing demons.",Sam Raimi
394, Memoirs of a Geisha,2005,2h 25m,PG-13,7.3,"The heartwarming tale of Nitta Sayuri, a young Japanese woman who transcended from her fishing-village roots and became one of Japan's most celebrated geisha.",Rob Marshall
395, About a Boy,2002,1h 41m,PG-13,7.1,"Will, who attends single parent meetings to woo women, meets Marcus, a troubled 12-year-old boy. As they become friends, Will learns to be responsible while he helps Marcus with his studies.",Chris Weitz
396, Die Another Day,2002,2h 13m,PG-13,6.1,"James Bond is sent to investigate the connection between a North Korean terrorist and a diamond mogul, who is funding the development of an international space weapon.",Lee Tamahori
397, The Lost World: Jurassic Park,1997,2h 9m,PG-13,6.6,"A research team is sent to the Jurassic Park Site B island to study the dinosaurs there, while an InGen team approaches with another agenda.",Steven Spielberg
398, We Were Soldiers,2002,2h 18m,R,7.2,"The story of the first major battle of the American phase of the Vietnam War, and the soldiers on both sides that fought it, while their wives wait nervously and anxiously at home for the good news or the bad news.",Randall Wallace
399, Mortal Kombat: Annihilation,1997,1h 35m,PG-13,3.6,A group of martial-arts warriors has only six days to save the Earth from an extra-dimensional invasion.,John R. Leonetti
400, Madagascar: Escape 2 Africa,2008,1h 29m,PG,6.6,"The Madagascar animals fly back to New York City, but crash-land on an African nature reserve in Kenya, where they meet others of their own kind, and Alex especially discovers his royal heritage as prince of a lion pride.",Eric Darnell
401, Walking Tall,2004,1h 26m,PG-13,6.3,"A former U.S. soldier returns to his hometown to find it overrun by crime and corruption, which prompts him to clean house.",Kevin Bray
402, Die Hard 2,1990,2h 4m,R,7.1,"John McClane attempts to avert disaster as rogue military operatives seize control of Dulles International Airport in Washington, D.C.",Renny Harlin
403, The Nightmare Before Christmas,1993,1h 16m,PG,7.9,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",Henry Selick
404, Stargate,1994,1h 56m,PG-13,7,"An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra.",Roland Emmerich
405, Bridget Jones's Diary,2001,1h 37m,R,6.8,Bridget Jones is determined to improve herself while she looks for love in a year in which she keeps a personal diary.,Sharon Maguire
406, From Hell,2001,2h 2m,R,6.7,"After five ritualistic murders are committed in 1888 London, Inspector Abberline's assignment is to investigate the ""Jack the Ripper"" murders. Along with a string of mutilated prostitutes, he uncovers a conspiracy involving the government.",Albert Hughes
407, Daredevil,2003,1h 43m,PG-13,5.3,A man blinded by toxic waste which also enhanced his remaining senses fights crime as an acrobatic martial arts superhero.,Mark Steven Johnson
408, Lara Croft: Tomb Raider,2001,1h 40m,PG-13,5.8,Video game adventurer Lara Croft comes to life in a movie where she races against time and villains to recover powerful ancient artifacts.,Simon West
409, Mission: Impossible,1996,1h 50m,PG-13,7.2,"An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.",Brian De Palma
410, Jay and Silent Bob Strike Back,2001,1h 44m,R,6.8,"The comic ""Bluntman and Chronic"" is based on real-life stoners Jay and Silent Bob, so when they get no profit from a big-screen adaptation, they set out to wreck the movie.",Kevin Smith
411, The Terminal,2004,2h 8m,PG-13,7.4,"An Eastern European tourist unexpectedly finds himself stranded in JFK airport, and must take up temporary residence there.",Steven Spielberg
412, Along Came Polly,2004,1h 30m,PG-13,6,A buttoned-up newlywed finds his strictly organized life descend into chaos when he falls in love with an old classmate.,John Hamburg
413, The Devil's Rejects,2005,1h 47m,R,6.7,"The murderous, backwoods Firefly family take to the road to escape the vengeful Sheriff Wydell, who is not afraid of being as ruthless as his target.",Rob Zombie
414, District 13: Ultimatum,2009,1h 41m,R,6.5,"Damien and Leito return to District 13 on a mission to bring peace to the troubled sector that is controlled by five different gang bosses, before the city's secret services take drastic measures to solve the problem.",Patrick Alessandrin
415, The Mummy Returns,2001,2h 10m,PG-13,6.4,"The mummified body of Imhotep is shipped to a museum in London, where he once again wakes and begins his campaign of rage and terror.",Stephen Sommers
416, Alien³,1992,1h 54m,R,6.4,"Returning from LV-426, Ellen Ripley crash-lands on the maximum-security prison Fiorina 161, where she discovers that she has unwittingly brought along an unwelcome visitor.",David Fincher
417, Mrs,1993,2h 5m,PG-13,7.1,"After a bitter divorce, an actor disguises himself as a female housekeeper to spend time with his children held in custody by his former wife.",Chris Columbus
418, The Dukes of Hazzard,2005,1h 44m,PG-13,5.1,"Cousins Bo, Luke, and Daisy Duke, and their uncle Jesse, egg on the authorities of Hazzard County, Boss Hogg and Sheriff Coltrane.",Jay Chandrasekhar
419, Clerks II,2006,1h 37m,R,7.3,A calamity at Dante and Randal's shops sends them looking for new horizons - but they ultimately settle at the fast food empire Mooby's.,Kevin Smith
420, The Abyss,1989,2h 20m,PG-13,7.5,A civilian diving team is enlisted to search for a lost nuclear submarine and faces danger while encountering an alien aquatic species.,James Cameron
421, Scary Movie 2,2001,1h 23m,R,5.3,Four teens are tricked by a professor into visiting a haunted house for a school project.,Keenen Ivory Wayans
422, Mary Poppins,1964,2h 19m,G,7.8,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",Robert Stevenson
423, Coach Carter,2005,2h 16m,PG-13,7.3,Controversy surrounds high school basketball coach Ken Carter after he benches his entire team for breaking their academic contract with him.,Thomas Carter
424, Police Academy,1984,1h 36m,R,6.7,"The mayor declares that anyone can enroll in the police academy irrespective of their physical condition or education level, and many misfits descend on the academy, including a young troublemaker who's forced to apply or go to jail.",Hugh Wilson
425, Cube,1997,1h 30m,R,7.1,A group of strangers awaken to find themselves placed in a giant cube. Each one of them is gifted with a special skill and they must work together to escape an endless maze of deadly traps.,Vincenzo Natali
426, Clerks,1994,1h 32m,R,7.7,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",Kevin Smith
427, Black Book,2006,2h 25m,R,7.7,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance.",Paul Verhoeven
428, Final Destination 3,2006,1h 33m,R,5.8,Wendy Christensen and a group of teens who escaped a fatal roller-coaster crash face a bloody date with Death.,James Wong
429, Corpse Bride,2005,1h 17m,PG,7.4,"When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.",Tim Burton
430, The Texas Chainsaw Massacre,2003,1h 38m,R,6.2,"After picking up a traumatized young hitchhiker, five friends find themselves stalked and hunted by a deformed chainsaw-wielding loon and his family of equally psychopathic killers.",Marcus Nispel
431, Halloween,1978,1h 31m,R,7.7,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",John Carpenter
432, What Lies Beneath,2000,2h 10m,PG-13,6.6,The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.,Robert Zemeckis
433, Snakes on a Plane,2006,1h 45m,R,5.5,"An FBI agent takes on a plane full of deadly venomous snakes, deliberately released to kill a witness being flown from Honolulu to Los Angeles to testify against a mob boss.",David R. Ellis
434, G-Force,2009,1h 28m,PG,5.1,A specially trained squad of guinea pigs is dispatched to stop a diabolical billionaire from taking over the world.,Hoyt Yeatman
435, The Black Dahlia,2006,2h 1m,R,5.6,"Two policemen see their personal and professional lives fall apart in the wake of the ""Black Dahlia"" Elizabeth Short murder investigation.",Brian De Palma
436, The World Is Not Enough,1999,2h 8m,PG-13,6.4,"James Bond uncovers a nuclear plot while protecting an oil heiress from her former kidnapper, an international terrorist who can't feel pain.",Michael Apted
437, Rat Race,2001,1h 52m,PG-13,6.5,A Las Vegas casino magnate determined to find a new avenue for wagering sets up a race for money.,Jerry Zucker
438, Final Destination,2000,1h 38m,R,6.7,"After getting a premonition about a plane crash on his school trip, Alex, a student, saves a few of his classmates. However, their situation gets complicated when death starts chasing them.",James Wong
439, Brüno,2009,1h 21m,R,5.9,"Flamboyant, gay Austrian Brüno looks for new fame in America.",Larry Charles
440, Jurassic Park III,2001,1h 32m,PG-13,5.9,"A decidedly odd couple with ulterior motives convince Dr. Grant to go to Isla Sorna for a holiday, but their unexpected landing startles the island's new inhabitants.",Joe Johnston
441, Disaster Movie,2008,1h 27m,PG-13,1.9,"Over the course of one evening, an unsuspecting group of twenty-somethings find themselves bombarded by a series of natural disasters and catastrophic events.",Jason Friedberg
442, The Exorcism of Emily Rose,2005,1h 59m,PG-13,6.7,A lawyer takes on a negligent homicide case involving a priest who performed an exorcism on a young girl.,Scott Derrickson
443, The Skeleton Key,2005,1h 44m,PG-13,6.5,A hospice nurse working at a spooky New Orleans plantation home finds herself entangled in a mystery involving the house's dark past.,Iain Softley
444, Lethal Weapon,1987,1h 49m,R,7.6,Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.,Richard Donner
445," Dude, Where's My Car?",2000,1h 23m,PG-13,5.5,Two potheads wake up after a night of partying and cannot remember where they parked their car.,Danny Leiner
446, Over the Hedge,2006,1h 23m,PG,6.7,"A scheming raccoon fools a mismatched family of forest creatures into helping him repay a debt of food, by invading the new suburban sprawl that popped up while they were hibernating...and learns a lesson about family himself.",Tim Johnson
447, Cheaper by the Dozen,2003,1h 38m,PG,5.9,"With his wife on a book tour, Tom Baker finds his life turned upside down when he agrees to care for his twelve children while simultaneously also coaching his new football team.",Shawn Levy
448, 13 Going on 30,2004,1h 38m,PG-13,6.3,"Unpopular schoolgirl Jenna Rink makes an unusual wish on her birthday. Miraculously, her wish comes true and the 13-year-old Jenna wakes up the next day as a 30-year-old woman.",Gary Winick
449, Planet of the Apes,1968,1h 52m,G,8,An astronaut crew crash-lands on a planet where highly intelligent non-human ape species are dominant and humans are enslaved.,Franklin J. Schaffner
450, Jumanji,1995,1h 44m,PG,7.1,"When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game.",Joe Johnston
451, Deep Impact,1998,2h,PG-13,6.2,"A comet is discovered to be on a collision course with Earth. As doomsday nears, the human race prepares for the worst.",Mimi Leder
452, Pocahontas,1995,1h 21m,G,6.7,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,Mike Gabriel
453, Wild Hogs,2007,1h 40m,PG-13,5.8,"A group of suburban biker wannabes looking for adventure hit the open road, but get more than they bargained for when they encounter a New Mexico gang called the Del Fuegos.",Walt Becker
454, Alice in Wonderland,1951,1h 15m,Approved,7.3,Alice stumbles into the world of Wonderland. Will she get home? Not if the Queen of Hearts has her way.,Clyde Geronimi
455, Four Rooms,1995,1h 38m,R,6.7,Four interlocking tales that take place in a fading hotel on New Year's Eve.,Allison Anders
456, The Ruins,2008,1h 30m,R,5.9,"A leisurely Mexican holiday takes a turn for the worse when a group of friends and a fellow tourist embark on a remote archaeological dig in the jungle, where something evil lives among the ruins.",Carter Smith
457, Happy Feet,2006,1h 48m,PG,6.4,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!",George Miller
458, Mission: Impossible II,2000,2h 3m,PG-13,6.1,"IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera"".",John Woo
459, Elf,2003,1h 37m,PG,7.1,"Raised as an oversized elf, Buddy travels from the North Pole to New York City to meet his biological father, Walter Hobbs, who doesn't know he exists and is in desperate need of some Christmas spirit.",Jon Favreau
460, The Hills Have Eyes 2,2007,1h 29m,R,5.1,A group of National Guard trainees find themselves battling against a vicious group of mutants on their last day of training in the desert.,Martin Weisz
461, What Women Want,2000,2h 7m,PG-13,6.5,"A cocky, chauvinistic advertising executive magically acquires the ability to hear what women are thinking.",Nancy Meyers
